cell_id,issuer,metric,value_year,truth_value,truth_scale,truth_unit,truth_status,page_number,source_location,basis,entity_scope,truth_set_version,source_report,note
total_equity_2022,millat_tractors,total_equity,2022,,,,PENDING_EXTRACTION,0,requires millat-2022.pdf / millat-2023.pdf (not yet read),unconsolidated,ISSUER,1.0.0,millat-2022.pdf / millat-2023.pdf,pending_blind_extraction
total_equity_2023,millat_tractors,total_equity,2023,,,,PENDING_EXTRACTION,0,requires millat-2022.pdf / millat-2023.pdf (not yet read),unconsolidated,ISSUER,1.0.0,millat-2022.pdf / millat-2023.pdf,pending_blind_extraction
total_equity_2024,millat_tractors,total_equity,2024,"10,953,152",thousands,PKR,VALUE,108,Unconsolidated BS - Share capital and reserves,unconsolidated,ISSUER,1.0.0,millat-2025.pdf,verified_from_pdf
total_equity_2025,millat_tractors,total_equity,2025,"8,076,300",thousands,PKR,VALUE,108,Unconsolidated BS - Share capital and reserves,unconsolidated,ISSUER,1.0.0,millat-2025.pdf,verified_from_pdf
total_liabilities_2022,millat_tractors,total_liabilities,2022,,,,PENDING_EXTRACTION,0,requires millat-2022.pdf / millat-2023.pdf (not yet read),unconsolidated,ISSUER,1.0.0,millat-2022.pdf / millat-2023.pdf,pending_blind_extraction
total_liabilities_2023,millat_tractors,total_liabilities,2023,,,,PENDING_EXTRACTION,0,requires millat-2022.pdf / millat-2023.pdf (not yet read),unconsolidated,ISSUER,1.0.0,millat-2022.pdf / millat-2023.pdf,pending_blind_extraction
total_liabilities_2024,millat_tractors,total_liabilities,2024,SOURCE_INSUFFICIENT,n/a,PKR,SOURCE_INSUFFICIENT,108,components only (NCL + CL); no explicit total-liabilities line and no unlabeled subtotal,unconsolidated,ISSUER,1.0.0,millat-2025.pdf,no_aggregation_rule
total_liabilities_2025,millat_tractors,total_liabilities,2025,SOURCE_INSUFFICIENT,n/a,PKR,SOURCE_INSUFFICIENT,108,components only (NCL + CL); no explicit total-liabilities line and no unlabeled subtotal,unconsolidated,ISSUER,1.0.0,millat-2025.pdf,no_aggregation_rule
long_term_debt_2022,millat_tractors,long_term_debt,2022,,,,PENDING_EXTRACTION,0,requires millat-2022.pdf / millat-2023.pdf (not yet read),unconsolidated,ISSUER,1.0.0,millat-2022.pdf / millat-2023.pdf,pending_blind_extraction
long_term_debt_2023,millat_tractors,long_term_debt,2023,,,,PENDING_EXTRACTION,0,requires millat-2022.pdf / millat-2023.pdf (not yet read),unconsolidated,ISSUER,1.0.0,millat-2022.pdf / millat-2023.pdf,pending_blind_extraction
long_term_debt_2024,millat_tractors,long_term_debt,2024,"894,649",thousands,PKR,VALUE,108,Unconsolidated BS - Long-term finances secured (non-current),unconsolidated,ISSUER,1.0.0,millat-2025.pdf,verified_from_pdf
long_term_debt_2025,millat_tractors,long_term_debt,2025,"460,690",thousands,PKR,VALUE,108,Unconsolidated BS - Long-term finances secured (non-current),unconsolidated,ISSUER,1.0.0,millat-2025.pdf,verified_from_pdf
operating_cash_flow_2022,millat_tractors,operating_cash_flow,2022,,,,PENDING_EXTRACTION,0,requires millat-2022.pdf / millat-2023.pdf (not yet read),unconsolidated,ISSUER,1.0.0,millat-2022.pdf / millat-2023.pdf,pending_blind_extraction
operating_cash_flow_2023,millat_tractors,operating_cash_flow,2023,,,,PENDING_EXTRACTION,0,requires millat-2022.pdf / millat-2023.pdf (not yet read),unconsolidated,ISSUER,1.0.0,millat-2022.pdf / millat-2023.pdf,pending_blind_extraction
operating_cash_flow_2024,millat_tractors,operating_cash_flow,2024,"6,870,709",thousands,PKR,VALUE,112,Unconsolidated CF - Net cash flows generated from operating activities,unconsolidated,ISSUER,1.0.0,millat-2025.pdf,verified_from_pdf
operating_cash_flow_2025,millat_tractors,operating_cash_flow,2025,"3,341,999",thousands,PKR,VALUE,112,Unconsolidated CF - Net cash flows generated from operating activities,unconsolidated,ISSUER,1.0.0,millat-2025.pdf,verified_from_pdf
